iter	Passed	Remaining
0	131	39247
1	132	19778
2	134	13268
3	135	10015
4	136	8074
5	138	6769
6	139	5838
7	140	5142
8	142	4596
9	143	4159
10	144	3805
11	146	3506
12	147	3254
13	148	3040
14	150	2852
15	151	2686
16	152	2541
17	153	2412
18	155	2295
19	156	2193
20	158	2099
21	159	2012
22	160	1936
23	162	1863
24	163	1796
25	164	1735
26	165	1678
27	167	1624
28	168	1575
29	169	1529
30	171	1485
31	172	1444
32	173	1405
33	174	1368
34	176	1335
35	177	1302
36	178	1271
37	180	1241
38	181	1213
39	182	1186
40	183	1161
41	185	1138
42	186	1114
43	187	1092
44	189	1071
45	190	1050
46	191	1030
47	192	1012
48	194	993
49	195	976
50	196	959
51	197	943
52	199	928
53	200	913
54	201	899
55	203	884
56	204	870
57	205	857
58	206	845
59	208	833
60	209	821
61	210	809
62	212	797
63	213	787
64	214	776
65	216	765
66	217	755
67	218	746
68	219	736
69	221	727
70	222	718
71	224	709
72	225	701
73	226	692
74	228	684
75	229	675
76	230	667
77	231	660
78	233	652
79	234	644
80	235	637
81	236	629
82	238	622
83	239	615
84	240	608
85	241	601
86	243	594
87	244	588
88	245	582
89	246	576
90	248	570
91	249	564
92	250	558
93	252	552
94	253	547
95	254	541
96	256	535
97	257	530
98	258	525
99	259	519
100	261	514
101	262	509
102	263	504
103	265	499
104	266	495
105	268	490
106	269	485
107	270	481
108	271	476
109	273	471
110	274	467
111	275	463
112	277	458
113	278	454
114	279	450
115	281	446
116	282	442
117	284	438
118	285	434
119	286	430
120	288	426
121	289	422
122	290	418
123	292	414
124	293	410
125	294	406
126	295	402
127	297	399
128	298	395
129	299	391
130	300	388
131	302	384
132	303	381
133	304	377
134	306	374
135	307	371
136	308	367
137	310	364
138	311	360
139	312	357
140	314	354
141	315	351
142	316	347
143	318	345
144	319	342
145	321	338
146	322	335
147	323	332
148	325	329
149	326	326
150	327	323
151	329	320
152	330	317
153	331	314
154	333	311
155	334	308
156	335	305
157	337	302
158	338	300
159	339	297
160	340	294
161	342	291
162	343	288
163	344	286
164	346	283
165	347	280
166	348	277
167	350	275
168	351	272
169	352	269
170	354	267
171	356	264
172	357	262
173	358	259
174	360	257
175	361	254
176	362	252
177	364	249
178	365	246
179	366	244
180	368	241
181	369	239
182	370	236
183	371	234
184	373	231
185	374	229
186	375	227
187	376	224
188	378	222
189	379	219
190	380	217
191	381	214
192	383	212
193	384	210
194	385	207
195	386	205
196	388	202
197	389	200
198	390	198
199	391	195
200	393	193
201	394	191
202	395	189
203	396	186
204	398	184
205	399	182
206	401	180
207	402	177
208	403	175
209	404	173
210	406	171
211	407	169
212	408	166
213	409	164
214	411	162
215	412	160
216	413	158
217	415	156
218	416	154
219	417	151
220	419	149
221	420	147
222	421	145
223	423	143
224	424	141
225	426	139
226	427	137
227	428	135
228	429	133
229	431	131
230	432	129
231	433	127
232	435	125
233	436	123
234	437	121
235	439	119
236	440	117
237	441	115
238	443	113
239	444	111
240	445	109
241	447	107
242	448	105
243	449	103
244	451	101
245	452	99
246	454	97
247	455	95
248	456	93
249	458	91
250	459	89
251	460	87
252	461	85
253	463	83
254	464	82
255	465	80
256	467	78
257	468	76
258	469	74
259	471	72
260	472	70
261	474	68
262	475	66
263	476	65
264	478	63
265	479	61
266	480	59
267	482	57
268	483	55
269	484	53
270	486	52
271	487	50
272	488	48
273	490	46
274	491	44
275	492	42
276	493	41
277	495	39
278	496	37
279	497	35
280	499	33
281	500	31
282	501	30
283	502	28
284	504	26
285	505	24
286	506	22
287	508	21
288	509	19
289	510	17
290	512	15
291	513	14
292	514	12
293	516	10
294	517	8
295	518	7
296	520	5
297	521	3
298	522	1
299	524	0
